korea_cvs.sale_dt,korea_cvs.adj_qty
20160101,28
20160102,49
20160103,56
20160106,14
20160107,7
20160108,28
20160109,35
20160111,42
20160112,28
20160114,14
20160115,14
20160116,21
20160117,56
20160118,21
20160119,7
20160120,35
20160121,14
20160122,14
20160124,56
20160125,63
20160126,78
20160127,70
20160128,21
20160129,7
20160130,21
20160131,42
20160201,28
20160202,28
20160203,56
20160204,85
20160205,28
20160206,14
20160207,7
20160208,70
20160209,14
20160210,14
20160211,35
20160212,35
20160213,14
20160214,42
20160215,42
20160216,7
20160217,21
20160218,42
20160219,49
20160220,14
20160221,63
20160222,14
20160223,49
20160224,92
20160225,42
20160226,7
20160227,99
20160228,7
20160229,14
20160301,63
20160302,28
20160303,21
20160304,70
20160305,21
20160306,28
20160307,42
20160308,28
20160309,21
20160310,7
20160311,14
20160312,21
20160313,99
20160314,42
20160315,28
20160316,78
20160317,42
20160318,56
20160319,35
20160320,14
20160321,28
20160322,70
20160323,14
20160324,7
20160325,28
20160326,28
20160327,35
20160328,42
20160329,28
20160330,42
20160331,7
20160401,35
20160402,92
20160403,70
20160404,49
20160405,21
20160406,7
20160407,35
20160408,63
20160409,21
20160410,21
20160411,42
20160412,21
20160413,78
20160414,63
20160415,49
20160416,49
20160417,49
20160418,49
20160419,7
20160420,28
20160421,21
20160422,14
20160423,35
20160424,28
20160425,92
20160426,14
20160427,7
20160428,7
20160429,70
20160430,56
20160501,78
20160502,14
20160503,56
20160504,28
20160505,70
20160506,78
20160507,56
20160508,63
20160509,35
20160510,42
20160511,28
20160512,21
20160513,14
20160514,28
20160515,106
20160516,49
20160517,35
20160518,56
20160519,35
20160520,49
20160521,28
20160522,42
20160523,21
20160524,14
20160525,7
20160526,21
20160527,35
20160528,21
20160529,63
20160530,42
20160531,56
20160601,35
20160602,35
20160603,92
20160604,21
20160605,70
20160606,42
20160607,28
20160608,78
20160610,113
20160611,14
20160612,28
20160613,92
20160614,14
20160615,28
20160616,63
20160617,21
20160618,120
20160619,70
20160620,21
20160621,14
20160622,63
20160623,21
20160624,21
20160625,63
20160626,85
20160627,42
20160628,14
20160629,63
20160630,28
20160701,35
20160702,42
20160703,49
20160704,56
20160705,35
20160706,70
20160707,7
20160708,21
20160709,78
20160710,106
20160711,63
20160712,35
20160713,35
20160714,42
20160715,56
20160716,63
20160717,42
20160718,49
20160719,21
20160720,63
20160721,28
20160722,70
20160723,35
20160724,56
20160725,113
20160726,28
20160727,14
20160728,70
20160729,85
20160730,63
20160731,127
20160801,63
20160802,42
20160803,21
20160804,70
20160805,106
20160806,120
20160807,70
20160808,35
20160809,14
20160810,49
20160811,42
20160812,21
20160813,28
20160814,63
20160815,35
20160816,78
20160817,49
20160818,35
20160819,63
20160820,49
20160821,28
20160822,63
20160823,35
20160824,63
20160825,21
20160826,28
20160827,56
20160828,92
20160829,28
20160830,63
20160831,35
20160901,28
20160902,42
20160903,70
20160904,42
20160905,78
20160906,28
20160907,42
20160908,28
20160909,49
20160910,70
20160911,134
20160912,14
20160913,42
20160914,42
20160915,21
20160916,35
20160917,42
20160918,35
20160919,70
20160920,21
20160921,14
20160922,42
20160923,49
20160924,42
20160925,70
20160926,49
20160927,49
20160928,49
20160929,21
20160930,63
20161001,85
20161002,42
20161003,141
20161004,42
20161006,35
20161007,49
20161008,85
20161009,35
20161010,85
20161011,14
20161012,113
20161013,35
20161014,63
20161015,78
20161016,120
20161017,63
20161018,49
20161019,35
20161020,56
20161021,42
20161022,85
20161023,28
20161024,92
20161025,35
20161026,35
20161027,56
20161028,35
20161029,35
20161030,56
20161031,35
20161101,42
20161102,56
20161103,63
20161104,35
20161105,42
20161106,49
20161107,35
20161108,49
20161109,35
20161110,42
20161111,35
20161112,35
20161113,21
20161114,28
20161115,35
20161116,21
20161117,42
20161118,42
20161120,28
20161121,49
20161122,14
20161123,49
20161124,28
20161125,99
20161126,28
20161127,70
20161128,42
20161129,63
20161130,70
20161201,63
20161202,21
20161203,21
20161204,70
20161205,28
20161206,92
20161207,56
20161208,49
20161209,92
20161210,106
20161211,49
20161212,42
20161213,92
20161214,70
20161215,56
20161216,85
20161217,49
20161218,63
20161219,35
20161220,56
20161221,35
20161222,92
20161223,127
20161224,56
20161225,99
20161226,42
20161227,49
20161228,70
20161229,78
20161230,63
20161231,120
